event no, total energy (keV), E frequency, momentum component (keV), x frequency, y frequency, z frequency, particles per run, runs per simulation, restricted momentum direction
183995,0.3233905180840665,1,0.44763684449492636,8,5,3,1,200000000,0.5
183995,0.9701715542521995,1,1.342910533484779,8,2,2,,,
183995,1.6169525904203326,1,2.238184222474632,4,3,0,,,
6954387,2.2637336265884653,1,3.1334579114644843,9,3,1,,,
6954387,2.9105146627565985,0,4.028731600454337,3,3,2,,,
7310535,3.5572956989247313,1,4.924005289444191,5,6,1,,,
7310535,4.2040767350928645,2,5.819278978434042,8,7,1,,,
7310535,4.850857771260998,0,6.714552667423895,8,1,3,,,
7310535,5.49763880742913,3,7.609826356413748,5,4,0,,,
7310535,6.144419843597264,1,8.505100045403601,4,4,0,,,
7310535,6.791200879765396,2,9.400373734393455,8,2,1,,,
19823904,7.437981915933529,1,10.295647423383306,6,2,0,,,
19823904,8.084762952101663,2,11.19092111237316,4,1,1,,,
27502953,8.731543988269795,0,12.08619480136301,4,4,1,,,
27502953,9.378325024437927,2,12.981468490352864,4,3,1,,,
27502953,10.025106060606062,0,13.876742179342717,1,5,3,,,
27502953,10.671887096774194,0,14.77201586833257,3,2,1,,,
27502953,11.318668132942328,1,15.667289557322423,0,3,1,,,
27502953,11.96544916911046,1,16.562563246312276,2,3,3,,,
27502953,12.612230205278593,0,17.45783693530213,2,1,2,,,
27502953,13.259011241446727,0,18.35311062429198,2,3,0,,,
36633847,13.905792277614859,1,19.248384313281832,3,3,0,,,
36633847,14.552573313782993,3,20.143658002271685,4,2,3,,,
48769993,15.199354349951125,0,21.03893169126154,2,1,1,,,
52219000,15.846135386119258,0,21.93420538025139,3,5,2,,,
52219000,16.492916422287394,0,22.829479069241245,3,1,1,,,
56498561,17.139697458455522,1,23.724752758231098,5,2,2,,,
56498561,17.78647849462366,2,24.62002644722095,3,6,0,,,
56498561,18.433259530791787,0,25.5153001362108,4,0,1,,,
56498561,19.080040566959923,0,26.410573825200654,0,4,0,,,
77743556,19.72682160312806,1,27.305847514190507,2,5,1,,,
77743556,20.373602639296188,0,28.20112120318036,2,0,2,,,
79101081,21.020383675464323,1,29.096394892170213,4,4,2,,,
79101081,21.667164711632452,1,29.991668581160067,3,4,2,,,
87062583,22.313945747800588,0,30.88694227014992,2,3,0,,,
87062583,22.960726783968724,1,31.782215959139773,2,2,0,,,
87062583,23.607507820136853,3,32.67748964812962,5,2,0,,,
87062583,24.25428885630499,1,33.57276333711948,2,4,0,,,
99661336,24.901069892473117,0,34.46803702610933,0,2,0,,,
105387604,25.547850928641253,0,35.36331071509919,2,3,0,,,
105387604,26.19463196480939,1,36.258584404089035,6,1,1,,,
108787835,26.841413000977518,1,37.15385809307888,1,1,4,,,
