event no, total energy (keV), E frequency, momentum component (keV), x frequency, y frequency, z frequency, particles per run, runs per simulation, restricted momentum direction
3245830,0.3233905180840665,0,0.34705487709600213,1,1,1,1,200000000,0.5
3245830,0.9701715542521995,2,1.0411646312880065,1,0,0,,,
13166947,1.6169525904203326,0,1.7352743854800108,5,4,0,,,
13166947,2.2637336265884653,1,2.429384139672015,5,0,0,,,
32300994,2.9105146627565985,1,3.123493893864019,6,1,0,,,
32300994,3.5572956989247313,0,3.8176036480560236,5,0,0,,,
32300994,4.2040767350928645,0,4.511713402248028,3,2,0,,,
32300994,4.850857771260998,0,5.205823156440032,5,3,1,,,
32300994,5.49763880742913,0,5.899932910632036,5,0,0,,,
32300994,6.144419843597264,0,6.59404266482404,3,1,1,,,
32300994,6.791200879765396,0,7.288152419016045,4,1,1,,,
32300994,7.437981915933529,0,7.982262173208049,3,3,0,,,
41735374,8.084762952101663,1,8.676371927400055,2,0,0,,,
41735374,8.731543988269795,0,9.370481681592057,0,3,2,,,
42335636,9.378325024437927,1,10.064591435784063,4,3,1,,,
42335636,10.025106060606062,0,10.758701189976065,2,2,0,,,
48693093,10.671887096774194,0,11.452810944168071,0,2,0,,,
48693093,11.318668132942328,1,12.146920698360073,1,0,0,,,
60026985,11.96544916911046,0,12.84103045255208,1,1,0,,,
60026985,12.612230205278593,1,13.535140206744082,2,2,0,,,
63269866,13.259011241446727,0,14.229249960936087,2,2,0,,,
63269866,13.905792277614859,0,14.923359715128093,0,2,1,,,
73340599,14.552573313782993,0,15.617469469320095,2,3,0,,,
73340599,15.199354349951125,0,16.3115792235121,2,1,0,,,
93188695,15.846135386119258,0,17.005688977704104,0,2,0,,,
93188695,16.492916422287394,0,17.69979873189611,0,2,0,,,
99868670,17.139697458455522,0,18.393908486088115,3,2,0,,,
99868670,17.78647849462366,0,19.088018240280118,1,0,0,,,
119576149,18.433259530791787,1,19.78212799447212,4,2,0,,,
119576149,19.080040566959923,0,20.476237748664126,1,2,1,,,
119576149,19.72682160312806,0,21.17034750285613,0,0,1,,,
124485645,20.373602639296188,0,21.864457257048134,0,0,0,,,
124485645,21.020383675464323,0,22.55856701124014,1,1,0,,,
124485645,21.667164711632452,0,23.252676765432142,1,2,1,,,
124485645,22.313945747800588,0,23.946786519624148,0,2,1,,,
124485645,22.960726783968724,0,24.640896273816153,2,2,0,,,
124485645,23.607507820136853,0,25.335006028008156,0,1,2,,,
131043608,24.25428885630499,0,26.029115782200158,0,1,0,,,
131043608,24.901069892473117,0,26.723225536392164,0,2,1,,,
131043608,25.547850928641253,1,27.41733529058417,0,2,0,,,
131043608,26.19463196480939,1,28.111445044776172,0,0,1,,,
132200793,26.841413000977518,2,28.805554798968178,0,1,0,,,
132200793,27.488194037145654,0,29.49966455316018,0,1,0,,,
135564044,28.134975073313782,1,30.193774307352186,3,2,1,,,
135564044,28.78175610948192,1,30.88788406154419,0,0,0,,,
147233038,29.42853714565005,2,31.581993815736194,0,1,0,,,
147233038,30.075318181818183,1,32.276103569928196,0,1,0,,,
