event no, total energy (keV), E frequency, momentum component (keV), x frequency, y frequency, z frequency, particles per run, runs per simulation, restricted momentum direction
51256386,33.95600439882698,5,50.47998824171083,9,6,2,,,
54744956,34.60278543499511,3,51.44151182726722,7,6,2,,,
54744956,35.24956647116325,1,52.40303541282363,5,1,4,,,
54744956,35.896347507331384,2,53.36455899838002,9,5,3,,,
55865678,36.54312854349951,1,54.32608258393641,7,6,0,,,
55865678,37.18990957966764,1,55.28760616949281,2,7,4,,,
55865678,37.83669061583578,3,56.24912975504921,5,8,0,,,
55865678,38.483471652003914,5,57.2106533406056,4,2,3,,,
55865678,39.13025268817205,1,58.172176926162,5,5,5,,,
56469161,39.77703372434018,5,59.1337005117184,4,6,2,,,
56989149,40.42381476050831,1,60.095224097274794,6,2,4,,,
57145697,41.07059579667644,1,61.05674768283119,7,6,3,,,
57145697,41.71737683284458,1,62.01827126838759,4,7,2,,,
57145697,42.364157869012715,1,62.979794853943986,7,4,2,,,
57145697,43.01093890518084,5,63.94131843950038,1,7,3,,,
59627800,43.65771994134897,3,64.90284202505677,7,4,3,,,
59627800,44.30450097751711,1,65.86436561061318,4,4,1,,,
59989652,44.951282013685244,3,66.82588919616957,4,4,1,,,
59989652,45.59806304985338,2,67.78741278172598,3,9,6,,,
59989652,46.24484408602151,4,68.74893636728237,4,2,4,,,
59989652,46.89162512218964,2,69.71045995283876,7,4,2,,,
66381862,47.53840615835777,2,70.67198353839515,5,6,7,,,
66381862,48.18518719452591,1,71.63350712395156,6,8,3,,,
68464885,48.831968230694045,3,72.59503070950795,3,3,3,,,
68464885,49.478749266862174,5,73.55655429506434,4,4,1,,,
68863642,50.1255303030303,3,74.51807788062075,8,7,3,,,
72064458,50.77231133919844,2,75.47960146617714,4,4,0,,,
72064458,51.419092375366574,4,76.44112505173354,5,2,4,,,
72064458,52.06587341153471,1,77.40264863728993,3,3,3,,,
72064458,52.71265444770284,1,78.36417222284634,2,3,6,,,
72064458,53.35943548387097,1,79.32569580840273,3,5,2,,,
72701539,54.006216520039104,6,80.28721939395913,5,4,2,,,
72701539,54.65299755620724,2,81.24874297951553,1,6,3,,,
72701539,55.29977859237537,4,82.21026656507192,3,8,3,,,
76064593,55.946559628543504,3,83.17179015062831,2,5,1,,,
76064593,56.59334066471163,1,84.13331373618472,4,7,0,,,
76064593,57.24012170087977,1,85.09483732174111,6,8,2,,,
76903595,57.886902737047905,3,86.0563609072975,2,8,1,,,
76903595,58.53368377321603,0,87.01788449285391,4,2,4,,,
76903595,59.18046480938417,3,87.9794080784103,3,5,3,,,
77343871,59.8272458455523,3,88.9409316639667,6,11,1,,,
77343871,60.474026881720434,2,89.90245524952309,4,4,3,,,
78022343,61.12080791788857,1,90.8639788350795,2,6,1,,,
78022343,61.7675889540567,2,91.82550242063589,2,5,3,,,
78022343,62.414369990224834,3,92.78702600619229,4,4,6,,,
78022343,63.06115102639296,1,93.74854959174868,2,2,1,,,
82379869,63.7079320625611,3,94.71007317730508,2,3,3,,,
82379869,64.35471309872923,0,95.67159676286147,0,4,2,,,
82379869,65.00149413489737,5,96.63312034841786,2,6,4,,,
82379869,65.64827517106549,4,97.59464393397427,1,4,0,,,
82379869,66.29505620723363,0,98.55616751953066,2,3,6,,,
82379869,66.94183724340176,0,99.51769110508707,3,3,2,,,
85422143,67.5886182795699,3,100.47921469064346,3,8,3,,,
89708556,68.23539931573802,3,101.44073827619985,3,3,4,,,
89708556,68.88218035190616,2,102.40226186175624,5,5,1,,,
93312203,69.5289613880743,1,103.36378544731265,1,2,4,,,
93312203,70.17574242424243,4,104.32530903286904,3,2,0,,,
93312203,70.82252346041057,2,105.28683261842545,3,1,5,,,
93312203,71.4693044965787,5,106.24835620398184,2,4,1,,,
96672674,72.11608553274682,4,107.20987978953823,5,5,2,,,
97830638,72.76286656891496,4,108.17140337509463,7,4,0,,,
97830638,73.4096476050831,3,109.13292696065102,1,4,3,,,
