event no, total energy (keV), E frequency, momentum component (keV), x frequency, y frequency, z frequency, particles per run, runs per simulation, restricted momentum direction
2282654,0.3233905180840665,5,0.4769349047466981,12,13,2,1,200000000,0.5
4966657,0.9701715542521995,7,1.4308047142400944,13,10,7,,,
4966657,1.6169525904203326,7,2.3846745237334908,18,7,4,,,
4966657,2.2637336265884653,3,3.3385443332268867,14,6,3,,,
4966657,2.9105146627565985,1,4.292414142720283,6,17,5,,,
4966657,3.5572956989247313,4,5.246283952213679,22,9,4,,,
4966657,4.2040767350928645,4,6.200153761707075,18,3,8,,,
10890039,4.850857771260998,1,7.154023571200471,18,10,2,,,
10890039,5.49763880742913,4,8.107893380693866,16,9,4,,,
10890039,6.144419843597264,5,9.061763190187264,15,10,3,,,
10890039,6.791200879765396,2,10.015632999680658,12,14,5,,,
10890039,7.437981915933529,2,10.969502809174056,15,10,3,,,
10890039,8.084762952101663,1,11.923372618667454,10,11,1,,,
10890039,8.731543988269795,2,12.877242428160848,9,19,3,,,
10890039,9.378325024437927,6,13.831112237654246,15,15,5,,,
13365280,10.025106060606062,6,14.78498204714764,14,14,3,,,
13365280,10.671887096774194,7,15.738851856641038,13,6,4,,,
13365280,11.318668132942328,6,16.69272166613443,10,10,2,,,
13565190,11.96544916911046,1,17.64659147562783,14,11,3,,,
13565190,12.612230205278593,2,18.600461285121227,11,7,4,,,
14685141,13.259011241446727,3,19.55433109461462,9,7,3,,,
14685141,13.905792277614859,1,20.508200904108016,9,8,4,,,
14685141,14.552573313782993,4,21.462070713601413,15,4,6,,,
14685141,15.199354349951125,1,22.41594052309481,9,7,7,,,
14685141,15.846135386119258,2,23.36981033258821,5,11,7,,,
14686375,16.492916422287394,3,24.323680142081603,9,12,9,,,
14686375,17.139697458455522,4,25.277549951574997,10,7,4,,,
14686375,17.78647849462366,2,26.231419761068395,13,14,1,,,
19246505,18.433259530791787,2,27.185289570561793,15,6,2,,,
19246505,19.080040566959923,3,28.139159380055187,9,2,4,,,
19246505,19.72682160312806,3,29.09302918954858,11,6,4,,,
19246505,20.373602639296188,3,30.04689899904198,11,5,2,,,
19246505,21.020383675464323,5,31.000768808535376,16,8,4,,,
21446452,21.667164711632452,2,31.954638618028774,12,10,2,,,
24245886,22.313945747800588,2,32.908508427522165,7,7,2,,,
24245886,22.960726783968724,6,33.86237823701556,9,2,4,,,
24245886,23.607507820136853,4,34.81624804650896,9,9,4,,,
24245886,24.25428885630499,5,35.77011785600236,7,7,4,,,
24645585,24.901069892473117,2,36.723987665495756,7,10,2,,,
24645585,25.547850928641253,4,37.677857474989146,9,8,7,,,
24645585,26.19463196480939,3,38.631727284482544,9,8,3,,,
25685636,26.841413000977518,1,39.58559709397594,8,5,2,,,
25685636,27.488194037145654,4,40.53946690346934,8,7,6,,,
25685636,28.134975073313782,3,41.49333671296273,9,2,3,,,
25685636,28.78175610948192,2,42.44720652245613,9,16,0,,,
25685636,29.42853714565005,3,43.401076331949525,12,9,1,,,
25685636,30.075318181818183,2,44.35494614144292,14,10,1,,,
28008517,30.72209921798632,2,45.30881595093632,13,9,5,,,
28008517,31.368880254154448,3,46.26268576042972,6,9,4,,,
28925382,32.01566129032258,4,47.21655556992311,7,10,7,,,
28925382,32.66244232649072,2,48.17042537941651,13,7,4,,,
30684779,33.30922336265885,8,49.124295188909905,8,6,3,,,
30684779,33.95600439882698,5,50.078164998403295,10,5,4,,,
30684779,34.60278543499511,4,51.03203480789669,6,7,3,,,
