event no, total energy (keV), E frequency, momentum component (keV), x frequency, y frequency, z frequency, particles per run, runs per simulation, restricted momentum direction
4199193,0.3233905180840665,2,0.3751153188970698,5,1,2,1,200000000,0.5
4199193,0.9701715542521995,0,1.1253459566912094,3,3,1,,,
4199193,1.6169525904203326,1,1.875576594485349,4,0,0,,,
4199193,2.2637336265884653,0,2.6258072322794885,4,2,0,,,
5999045,2.9105146627565985,1,3.376037870073628,8,2,0,,,
5999045,3.5572956989247313,0,4.126268507867768,4,2,0,,,
17402627,4.2040767350928645,0,4.876499145661907,4,0,1,,,
17402627,4.850857771260998,3,5.626729783456047,3,4,0,,,
17402627,5.49763880742913,1,6.376960421250186,2,2,1,,,
24102713,6.144419843597264,1,7.127191059044326,4,4,0,,,
24102713,6.791200879765396,0,7.877421696838466,2,2,0,,,
24102713,7.437981915933529,2,8.627652334632606,2,5,0,,,
24102713,8.084762952101663,1,9.377882972426745,3,1,0,,,
24102713,8.731543988269795,0,10.128113610220884,3,0,2,,,
24102713,9.378325024437927,1,10.878344248015024,6,3,0,,,
27662046,10.025106060606062,0,11.628574885809163,4,3,0,,,
27662046,10.671887096774194,2,12.378805523603303,3,2,0,,,
27662046,11.318668132942328,0,13.129036161397442,3,2,2,,,
27662046,11.96544916911046,0,13.879266799191582,5,3,0,,,
27662046,12.612230205278593,0,14.629497436985721,2,3,0,,,
27662046,13.259011241446727,3,15.37972807477986,1,2,0,,,
27662046,13.905792277614859,0,16.129958712574002,3,3,0,,,
27662046,14.552573313782993,1,16.88018935036814,4,5,0,,,
27662046,15.199354349951125,0,17.63041998816228,0,0,1,,,
43819504,15.846135386119258,1,18.38065062595642,0,1,2,,,
43819504,16.492916422287394,0,19.13088126375056,0,2,1,,,
43819504,17.139697458455522,1,19.8811119015447,2,1,0,,,
47775939,17.78647849462366,0,20.63134253933884,1,2,2,,,
47775939,18.433259530791787,0,21.381573177132978,2,1,1,,,
76079803,19.080040566959923,2,22.131803814927117,1,5,3,,,
76079803,19.72682160312806,1,22.882034452721257,3,2,0,,,
76079803,20.373602639296188,0,23.632265090515396,3,2,0,,,
76079803,21.020383675464323,0,24.382495728309536,2,2,0,,,
90496511,21.667164711632452,1,25.132726366103675,1,2,0,,,
90496511,22.313945747800588,0,25.882957003897815,2,1,0,,,
97042725,22.960726783968724,0,26.633187641691954,0,2,1,,,
97042725,23.607507820136853,0,27.383418279486094,1,2,0,,,
