event no, total energy (keV), E frequency, momentum component (keV), x frequency, y frequency, z frequency, particles per run, runs per simulation, restricted momentum direction
1614467,0.3233905180840665,1,0.47397418109026096,8,4,1,1,200000000,0.5
1614467,0.9701715542521995,4,1.421922543270783,12,6,2,,,
6071425,1.6169525904203326,3,2.3698709054513047,6,5,3,,,
6071425,2.2637336265884653,1,3.317819267631827,10,7,4,,,
6071425,2.9105146627565985,6,4.265767629812348,6,7,0,,,
21713590,3.5572956989247313,0,5.213715991992871,2,4,3,,,
21713590,4.2040767350928645,2,6.161664354173393,6,7,1,,,
22714179,4.850857771260998,1,7.109612716353914,10,5,0,,,
22714179,5.49763880742913,1,8.057561078534436,9,11,3,,,
22714179,6.144419843597264,1,9.005509440714958,10,2,4,,,
22714179,6.791200879765396,2,9.95345780289548,4,6,2,,,
22714179,7.437981915933529,2,10.901406165076002,8,2,0,,,
22714179,8.084762952101663,2,11.849354527256525,6,5,4,,,
39401762,8.731543988269795,2,12.797302889437045,10,5,3,,,
44200714,9.378325024437927,2,13.745251251617567,7,4,1,,,
44200714,10.025106060606062,0,14.69319961379809,13,5,0,,,
48643453,10.671887096774194,2,15.641147975978612,4,6,0,,,
48643453,11.318668132942328,1,16.58909633815913,7,3,1,,,
48643453,11.96544916911046,2,17.537044700339656,8,2,1,,,
48643453,12.612230205278593,1,18.484993062520175,7,7,3,,,
48643453,13.259011241446727,0,19.4329414247007,7,2,1,,,
48643453,13.905792277614859,0,20.38088978688122,6,2,6,,,
48643453,14.552573313782993,0,21.328838149061745,5,2,2,,,
58118976,15.199354349951125,0,22.276786511242264,3,3,2,,,
58118976,15.846135386119258,3,23.22473487342279,6,5,0,,,
70123022,16.492916422287394,3,24.17268323560331,3,10,1,,,
70123022,17.139697458455522,1,25.12063159778383,1,3,3,,,
70123022,17.78647849462366,3,26.068579959964353,5,1,0,,,
70123022,18.433259530791787,1,27.01652832214487,4,4,1,,,
70642633,19.080040566959923,3,27.964476684325398,4,3,2,,,
70642633,19.72682160312806,3,28.912425046505916,6,5,2,,,
70642633,20.373602639296188,0,29.860373408686442,3,4,1,,,
70642633,21.020383675464323,2,30.80832177086696,4,3,1,,,
72121447,21.667164711632452,0,31.756270133047483,6,3,3,,,
75723858,22.313945747800588,2,32.704218495228005,4,7,4,,,
96413218,22.960726783968724,0,33.65216685740853,3,2,2,,,
96413218,23.607507820136853,1,34.60011521958905,4,5,3,,,
98170931,24.25428885630499,2,35.54806358176957,5,2,1,,,
98170931,24.901069892473117,1,36.496011943950094,2,4,1,,,
98170931,25.547850928641253,2,37.44396030613062,4,1,3,,,
102722070,26.19463196480939,2,38.39190866831114,4,3,0,,,
102722070,26.841413000977518,2,39.33985703049166,2,1,2,,,
102722070,27.488194037145654,5,40.28780539267218,4,3,3,,,
102722070,28.134975073313782,1,41.2357537548527,3,6,1,,,
102722070,28.78175610948192,2,42.18370211703322,3,2,1,,,
103761237,29.42853714565005,3,43.13165047921375,1,4,0,,,
103761237,30.075318181818183,2,44.07959884139427,3,7,1,,,
103761237,30.72209921798632,5,45.02754720357479,5,3,1,,,
103761237,31.368880254154448,3,45.97549556575531,1,4,4,,,
107489544,32.01566129032258,2,46.923443927935836,3,7,1,,,
113888148,32.66244232649072,3,47.87139229011636,0,3,2,,,
113888148,33.30922336265885,1,48.81934065229688,7,4,1,,,
113888148,33.95600439882698,2,49.7672890144774,4,2,2,,,
127802908,34.60278543499511,2,50.715237376657925,4,4,2,,,
127802908,35.24956647116325,1,51.66318573883844,4,3,2,,,
127802908,35.896347507331384,4,52.61113410101896,2,2,1,,,
132163038,36.54312854349951,3,53.55908246319949,1,6,2,,,
132163038,37.18990957966764,1,54.50703082538001,4,2,2,,,
132163038,37.83669061583578,4,55.45497918756053,1,1,3,,,
132163038,38.483471652003914,4,56.40292754974105,1,4,2,,,
133165372,39.13025268817205,2,57.35087591192158,2,3,0,,,
134237844,39.77703372434018,1,58.2988242741021,2,6,2,,,
134237844,40.42381476050831,2,59.24677263628262,1,2,1,,,
