event no, total energy (keV), E frequency, momentum component (keV), x frequency, y frequency, z frequency, particles per run, runs per simulation, restricted momentum direction
5750428,0.3233905180840665,1,0.48450641513135745,8,1,1,1,200000000,0.5
5750428,0.9701715542521995,1,1.4535192453940724,9,5,1,,,
6673504,1.6169525904203326,1,2.4225320756567874,10,7,1,,,
6673504,2.2637336265884653,2,3.391544905919502,9,6,0,,,
8754621,2.9105146627565985,0,4.360557736182217,13,8,3,,,
8754621,3.5572956989247313,2,5.329570566444932,6,2,2,,,
8754621,4.2040767350928645,2,6.298583396707647,6,2,1,,,
11552889,4.850857771260998,2,7.267596226970362,10,5,2,,,
11552889,5.49763880742913,0,8.236609057233077,12,5,3,,,
12152030,6.144419843597264,1,9.205621887495791,8,4,2,,,
12152030,6.791200879765396,4,10.174634717758508,4,4,1,,,
14271075,7.437981915933529,0,11.143647548021221,7,4,1,,,
14271075,8.084762952101663,1,12.112660378283937,7,3,0,,,
14271075,8.731543988269795,2,13.08167320854665,5,7,0,,,
16913380,9.378325024437927,0,14.050686038809367,9,4,1,,,
16913380,10.025106060606062,1,15.01969886907208,12,4,2,,,
16913380,10.671887096774194,3,15.988711699334797,5,2,3,,,
16913380,11.318668132942328,8,16.957724529597513,13,8,2,,,
20277831,11.96544916911046,0,17.926737359860226,6,6,1,,,
23643359,12.612230205278593,0,18.89575019012294,6,2,3,,,
23643359,13.259011241446727,1,19.864763020385656,7,2,2,,,
23643359,13.905792277614859,2,20.833775850648372,6,4,0,,,
23643359,14.552573313782993,1,21.802788680911085,5,4,1,,,
23643359,15.199354349951125,0,22.7718015111738,7,5,3,,,
25241944,15.846135386119258,1,23.740814341436515,7,5,3,,,
25241944,16.492916422287394,0,24.70982717169923,5,5,3,,,
25241944,17.139697458455522,2,25.678840001961944,3,6,2,,,
25241944,17.78647849462366,1,26.647852832224658,2,5,3,,,
25241944,18.433259530791787,0,27.616865662487374,3,4,0,,,
25241944,19.080040566959923,1,28.58587849275009,3,2,0,,,
26569281,19.72682160312806,0,29.554891323012804,4,3,6,,,
26569281,20.373602639296188,2,30.523904153275517,4,6,1,,,
29137126,21.020383675464323,0,31.492916983538237,7,5,2,,,
29137126,21.667164711632452,2,32.46192981380095,2,11,2,,,
29137126,22.313945747800588,0,33.43094264406366,8,7,0,,,
29295978,22.960726783968724,3,34.399955474326376,3,5,2,,,
29295978,23.607507820136853,0,35.368968304589096,5,5,2,,,
29295978,24.25428885630499,0,36.33798113485181,3,3,0,,,
29295978,24.901069892473117,8,37.30699396511452,5,8,0,,,
30736794,25.547850928641253,1,38.27600679537724,10,5,3,,,
30736794,26.19463196480939,0,39.245019625639955,7,2,1,,,
30736794,26.841413000977518,2,40.21403245590267,3,1,1,,,
35255368,27.488194037145654,0,41.18304528616538,3,6,2,,,
35255368,28.134975073313782,2,42.152058116428094,3,4,2,,,
40189796,28.78175610948192,1,43.121070946690814,3,1,4,,,
40189796,29.42853714565005,0,44.09008377695353,7,6,3,,,
40189796,30.075318181818183,1,45.05909660721624,4,5,1,,,
40189796,30.72209921798632,1,46.02810943747896,2,3,1,,,
41191883,31.368880254154448,2,46.99712226774167,3,2,1,,,
41191883,32.01566129032258,1,47.966135098004386,5,1,1,,,
41191883,32.66244232649072,4,48.9351479282671,2,6,0,,,
41191883,33.30922336265885,4,49.90416075852982,3,6,3,,,
41191883,33.95600439882698,2,50.87317358879253,6,5,1,,,
41191883,34.60278543499511,1,51.842186419055245,1,8,2,,,
41191883,35.24956647116325,0,52.811199249317966,2,5,1,,,
41191883,35.896347507331384,3,53.78021207958068,6,5,5,,,
42433764,36.54312854349951,1,54.74922490984339,4,3,1,,,
42433764,37.18990957966764,2,55.718237740106105,1,6,2,,,
42433764,37.83669061583578,1,56.68725057036882,0,2,4,,,
42433764,38.483471652003914,1,57.65626340063154,1,7,2,,,
42433764,39.13025268817205,2,58.62527623089425,1,4,1,,,
