event no, total energy (keV), E frequency, momentum component (keV), x frequency, y frequency, z frequency, particles per run, runs per simulation, restricted momentum direction
10082714,0.3113337972304275,0,0.26976570948389506,3,1,0,1,200000000,0.5
10082714,0.9340013916912824,1,0.8092971284516852,3,2,0,,,
10082714,1.5566689861521374,1,1.3488285474194752,4,2,0,,,
10082714,2.1793365806129925,0,1.8883599663872654,3,2,0,,,
11288502,2.802004175073847,1,2.427891385355055,3,5,1,,,
29926510,3.424671769534702,2,2.9674228043228457,4,3,0,,,
29926510,4.047339363995557,0,3.506954223290636,2,0,0,,,
34606910,4.670006958456412,0,4.046485642258426,1,1,0,,,
34606910,5.292674552917267,0,4.586017061226216,2,0,0,,,
65144565,5.915342147378122,1,5.125548480194006,3,2,0,,,
65144565,6.538009741838977,0,5.665079899161796,2,2,0,,,
65944775,7.160677336299832,1,6.2046113181295866,5,1,0,,,
65944775,7.783344930760687,1,6.744142737097377,1,3,0,,,
72907469,8.406012525221541,0,7.2836741560651665,4,0,0,,,
72907469,9.028680119682397,0,7.823205575032956,4,3,0,,,
79442881,9.651347714143252,0,8.362736994000747,5,3,1,,,
79442881,10.274015308604106,0,8.902268412968537,2,2,0,,,
79442881,10.896682903064962,0,9.441799831936327,6,1,2,,,
93584968,11.519350497525817,2,9.981331250904116,2,0,0,,,
93584968,12.142018091986671,1,10.520862669871907,3,0,1,,,
98156521,12.764685686447526,1,11.060394088839697,1,3,0,,,
98156521,13.387353280908382,0,11.599925507807487,2,1,0,,,
110931090,14.010020875369236,0,12.139456926775278,2,1,1,,,
110931090,14.632688469830091,1,12.678988345743068,1,0,0,,,
110931090,15.255356064290947,0,13.218519764710859,1,0,0,,,
110931090,15.8780236587518,1,13.758051183678647,1,0,0,,,
147622915,16.500691253212658,1,14.297582602646438,1,0,0,,,
147622915,17.12335884767351,0,14.837114021614228,3,0,0,,,
151193363,17.746026442134365,0,15.376645440582019,3,4,1,,,
151193363,18.368694036595222,0,15.916176859549807,1,5,0,,,
151193363,18.991361631056076,0,16.455708278517598,1,0,1,,,
151193363,19.61402922551693,1,16.99523969748539,0,1,0,,,
170224770,20.236696819977787,0,17.53477111645318,0,2,1,,,
170224770,20.85936441443864,0,18.07430253542097,1,0,0,,,
196835528,21.482032008899495,0,18.61383395438876,2,0,0,,,
196835528,22.104699603360352,1,19.15336537335655,1,0,0,,,
6067061,22.727367197821206,0,19.69289679232434,2,4,0,,,
6067061,23.35003479228206,2,20.23242821129213,1,2,0,,,
14633783,23.972702386742917,1,20.771959630259918,0,1,0,,,
14633783,24.59536998120377,2,21.31149104922771,3,2,0,,,
14633783,25.218037575664624,1,21.8510224681955,0,2,0,,,
14633783,25.84070517012548,0,22.39055388716329,2,0,0,,,
22313104,26.463372764586335,1,22.93008530613108,0,0,0,,,
22313104,27.08604035904719,0,23.46961672509887,1,0,1,,,
22313104,27.708707953508046,0,24.00914814406666,3,3,0,,,
22313104,28.3313755479689,1,24.54867956303445,0,0,1,,,
47700341,28.954043142429754,0,25.08821098200224,0,0,0,,,
47700341,29.57671073689061,0,25.627742400970032,1,3,0,,,
47700341,30.199378331351465,0,26.16727381993782,1,1,0,,,
53839858,30.82204592581232,1,26.70680523890561,0,0,0,,,
53839858,31.444713520273176,0,27.2463366578734,0,1,0,,,
53839858,32.06738111473403,0,27.78586807684119,0,2,0,,,
53839858,32.69004870919488,0,28.32539949580898,1,3,0,,,
55442390,33.31271630365574,0,28.86493091477677,0,1,1,,,
55442390,33.9353838981166,1,29.40446233374456,1,0,0,,,
55442390,34.55805149257745,1,29.943993752712352,1,3,1,,,
55442390,35.180719087038305,1,30.483525171680142,0,3,1,,,
55442390,35.80338668149916,1,31.023056590647933,0,1,0,,,
55442390,36.42605427596001,1,31.562588009615723,0,0,0,,,
61573043,37.04872187042087,1,32.10211942858351,0,2,0,,,
61573043,37.67138946488173,1,32.641650847551304,0,1,1,,,
65685342,38.29405705934258,1,33.18118226651909,1,0,0,,,
65685342,38.916724653803435,3,33.720713685486885,0,0,0,,,
65685342,39.53939224826429,0,34.26024510445467,0,0,0,,,
65685342,40.16205984272514,0,34.799776523422466,0,1,0,,,
75016120,40.784727437186,1,35.33930794239025,1,2,0,,,
75016120,41.40739503164686,0,35.87883936135805,1,0,0,,,
75016120,42.03006262610771,0,36.41837078032583,0,1,0,,,
80217834,42.652730220568564,0,36.95790219929363,1,0,0,,,
80217834,43.27539781502942,0,37.49743361826141,0,0,0,,,
80217834,43.89806540949027,2,38.03696503722921,1,0,1,,,
80217834,44.52073300395113,0,38.57649645619699,0,2,1,,,
87612562,45.143400598411986,0,39.11602787516479,0,2,0,,,
87612562,45.76606819287284,1,39.65555929413257,1,0,0,,,
87612562,46.388735787333694,0,40.19509071310036,0,0,0,,,
87612562,47.01140338179455,0,40.734622132068154,0,1,1,,,
100855972,47.6340709762554,0,41.27415355103594,1,1,0,,,
100855972,48.25673857071626,0,41.813684970003735,1,0,2,,,
112683089,48.879406165177116,0,42.35321638897152,0,0,0,,,
112683089,49.502073759637966,1,42.892747807939315,0,0,0,,,
112683089,50.12474135409882,0,43.4322792269071,1,0,1,,,
112683089,50.74740894855968,0,43.971810645874896,1,0,0,,,
133725618,51.37007654302053,1,44.51134206484268,0,1,0,,,
133725618,51.99274413748139,1,45.05087348381048,0,0,1,,,
133725618,52.615411731942245,0,45.59040490277826,1,1,0,,,
133725618,53.238079326403096,0,46.12993632174606,1,3,1,,,
161240434,53.86074692086395,0,46.66946774071384,1,3,0,,,
161240434,54.48341451532481,0,47.20899915968164,0,0,1,,,
166125051,55.10608210978566,0,47.74853057864942,0,1,0,,,
166125051,55.72874970424652,1,48.28806199761722,0,4,0,,,
189069979,56.351417298707375,1,48.827593416585,0,0,0,,,
189069979,56.974084893168225,0,49.3671248355528,0,1,0,,,
189069979,57.59675248762908,0,49.906656254520584,0,1,0,,,
189069979,58.21942008208994,0,50.44618767348838,0,0,0,,,
34756298,58.84208767655079,0,50.985719092456165,0,1,0,,,
34756298,59.46475527101165,0,51.52525051142396,0,0,1,,,
52897350,60.087422865472504,0,52.064781930391746,0,1,0,,,
52897350,60.710090459933355,1,52.60431334935953,1,0,0,,,
56338021,61.33275805439422,0,53.14384476832733,1,0,0,,,
56338021,61.95542564885507,0,53.68337618729511,0,1,1,,,
56338021,62.57809324331592,1,54.22290760626291,0,1,0,,,
56338021,63.200760837776784,1,54.76243902523069,1,0,0,,,
57498793,63.823428432237634,0,55.30197044419849,0,0,0,,,
57498793,64.44609602669848,0,55.84150186316627,0,1,0,,,
73967813,65.06876362115935,0,56.38103328213407,0,0,0,,,
73967813,65.6914312156202,0,56.92056470110185,0,0,0,,,
134962918,66.31409881008105,2,57.46009612006965,1,1,1,,,
134962918,66.93676640454191,0,57.999627539037434,1,0,0,,,
162265486,67.55943399900276,0,58.53915895800523,1,0,0,,,
