event no, total energy (keV), E frequency, momentum component (keV), x frequency, y frequency, z frequency, particles per run, runs per simulation, restricted momentum direction
35319,0.3233905180840665,42,0.5149924995276555,159,676,75,1,200000000,0.5
35319,0.9701715542521995,87,1.5449774985829663,140,642,69,,,
35319,1.6169525904203326,64,2.5749624976382774,117,623,89,,,
36735,2.2637336265884653,60,3.604947496693588,127,596,75,,,
36735,2.9105146627565985,47,4.634932495748899,125,574,80,,,
36735,3.5572956989247313,56,5.66491749480421,120,589,91,,,
36735,4.2040767350928645,59,6.694902493859521,106,573,80,,,
36735,4.850857771260998,67,7.7248874929148315,125,557,98,,,
36735,5.49763880742913,68,8.754872491970143,137,538,84,,,
77828,6.144419843597264,62,9.784857491025454,132,532,88,,,
77828,6.791200879765396,68,10.814842490080764,126,472,84,,,
77828,7.437981915933529,60,11.844827489136076,130,458,90,,,
77828,8.084762952101663,54,12.874812488191386,129,404,84,,,
196622,8.731543988269795,59,13.904797487246697,133,378,100,,,
196622,9.378325024437927,62,14.934782486302009,141,342,83,,,
196622,10.025106060606062,55,15.96476748535732,123,314,83,,,
196622,10.671887096774194,58,16.99475248441263,136,250,104,,,
237781,11.318668132942328,63,18.02473748346794,142,244,96,,,
238024,11.96544916911046,53,19.054722482523253,136,245,80,,,
238024,12.612230205278593,65,20.084707481578562,119,222,89,,,
238024,13.259011241446727,67,21.114692480633874,120,245,67,,,
238024,13.905792277614859,52,22.144677479689186,134,246,84,,,
238024,14.552573313782993,56,23.174662478744494,149,220,95,,,
238024,15.199354349951125,57,24.204647477799806,140,229,98,,,
270473,15.846135386119258,61,25.23463247685512,147,206,76,,,
311656,16.492916422287394,75,26.264617475910427,134,214,90,,,
311656,17.139697458455522,63,27.294602474965743,140,195,83,,,
311656,17.78647849462366,69,28.32458747402105,148,174,90,,,
311656,18.433259530791787,58,29.35457247307636,101,192,77,,,
311656,19.080040566959923,52,30.384557472131675,122,157,101,,,
311656,19.72682160312806,71,31.414542471186984,131,157,85,,,
467895,20.373602639296188,63,32.44452747024229,143,160,80,,,
467895,21.020383675464323,41,33.47451246929761,154,132,78,,,
467895,21.667164711632452,63,34.504497468352916,155,125,95,,,
467895,22.313945747800588,76,35.534482467408225,143,112,84,,,
467895,22.960726783968724,65,36.56446746646354,144,84,87,,,
467895,23.607507820136853,54,37.59445246551885,128,102,85,,,
582284,24.25428885630499,65,38.62443746457416,147,118,76,,,
582284,24.901069892473117,67,39.65442246362947,157,125,74,,,
582284,25.547850928641253,62,40.68440746268478,145,111,81,,,
626803,26.19463196480939,65,41.71439246174009,140,120,81,,,
626803,26.841413000977518,59,42.744377460795405,154,105,72,,,
626803,27.488194037145654,69,43.774362459850714,183,113,92,,,
782388,28.134975073313782,66,44.80434745890602,143,125,83,,,
782713,28.78175610948192,59,45.83433245796134,127,101,68,,,
782713,29.42853714565005,57,46.86431745701665,182,97,79,,,
782713,30.075318181818183,68,47.894302456071955,181,113,84,,,
