event no, total energy (keV), E frequency, momentum component (keV), x frequency, y frequency, z frequency, particles per run, runs per simulation, restricted momentum direction
7302987,0.3233905180840665,0,0.425006531201493,8,2,1,1,200000000,0.5
7302987,0.9701715542521995,1,1.275019593604479,3,2,0,,,
7302987,1.6169525904203326,0,2.1250326560074653,5,3,0,,,
7302987,2.2637336265884653,1,2.975045718410451,6,4,0,,,
7302987,2.9105146627565985,1,3.8250587808134373,10,2,1,,,
7302987,3.5572956989247313,2,4.675071843216424,7,2,0,,,
20452190,4.2040767350928645,1,5.5250849056194085,2,2,0,,,
20452190,4.850857771260998,1,6.375097968022395,8,3,0,,,
23850759,5.49763880742913,0,7.225111030425381,3,4,1,,,
23850759,6.144419843597264,0,8.075124092828368,2,1,0,,,
24050400,6.791200879765396,1,8.925137155231354,3,0,1,,,
24050400,7.437981915933529,2,9.775150217634339,1,2,2,,,
24050400,8.084762952101663,3,10.625163280037325,3,3,0,,,
24050400,8.731543988269795,3,11.47517634244031,6,4,0,,,
26653605,9.378325024437927,1,12.325189404843297,4,2,0,,,
26653605,10.025106060606062,0,13.175202467246283,2,3,0,,,
47837837,10.671887096774194,0,14.02521552964927,2,1,0,,,
47837837,11.318668132942328,0,14.875228592052256,3,3,2,,,
48719968,11.96544916911046,3,15.725241654455242,1,2,1,,,
48719968,12.612230205278593,0,16.57525471685823,3,4,1,,,
59396475,13.259011241446727,1,17.425267779261212,3,2,0,,,
59396475,13.905792277614859,0,18.2752808416642,6,1,0,,,
59396475,14.552573313782993,3,19.125293904067185,0,2,0,,,
59396475,15.199354349951125,0,19.97530696647017,2,3,1,,,
59396475,15.846135386119258,1,20.825320028873158,5,2,1,,,
63315763,16.492916422287394,1,21.675333091276144,1,1,0,,,
63315763,17.139697458455522,1,22.52534615367913,2,2,2,,,
65637538,17.78647849462366,0,23.375359216082117,3,1,2,,,
65637538,18.433259530791787,1,24.2253722784851,1,0,0,,,
69747163,19.080040566959923,3,25.075385340888086,2,1,1,,,
69747163,19.72682160312806,1,25.925398403291073,1,1,0,,,
86375780,20.373602639296188,1,26.77541146569406,1,3,0,,,
86375780,21.020383675464323,0,27.625424528097046,2,4,1,,,
86375780,21.667164711632452,1,28.475437590500032,1,2,1,,,
87983161,22.313945747800588,0,29.32545065290302,2,1,1,,,
87983161,22.960726783968724,1,30.175463715306005,1,3,0,,,
87983161,23.607507820136853,0,31.025476777708988,1,1,0,,,
87983161,24.25428885630499,1,31.875489840111975,2,6,0,,,
87983161,24.901069892473117,0,32.72550290251496,3,2,0,,,
87983161,25.547850928641253,0,33.575515964917955,0,1,1,,,
87983161,26.19463196480939,1,34.425529027320934,1,3,0,,,
88740192,26.841413000977518,1,35.27554208972391,0,2,0,,,
88740192,27.488194037145654,0,36.12555515212691,0,3,1,,,
108522101,28.134975073313782,2,36.975568214529886,0,0,1,,,
108522101,28.78175610948192,2,37.82558127693288,1,2,0,,,
108522101,29.42853714565005,2,38.67559433933586,1,0,0,,,
108522101,30.075318181818183,0,39.52560740173885,0,2,0,,,
108522101,30.72209921798632,0,40.37562046414183,1,1,0,,,
108522101,31.368880254154448,1,41.225633526544826,0,1,0,,,
108522101,32.01566129032258,0,42.075646588947805,0,2,1,,,
108522101,32.66244232649072,2,42.9256596513508,3,0,0,,,
109280702,33.30922336265885,1,43.77567271375378,0,2,0,,,
113081586,33.95600439882698,0,44.62568577615677,1,3,0,,,
113081586,34.60278543499511,1,45.47569883855975,1,1,0,,,
113081586,35.24956647116325,0,46.325711900962744,2,1,0,,,
113081586,35.896347507331384,1,47.175724963365724,0,0,2,,,
113081586,36.54312854349951,2,48.0257380257687,1,0,0,,,
113081586,37.18990957966764,1,48.8757510881717,0,5,1,,,
121958467,37.83669061583578,1,49.725764150574676,1,2,2,,,
121958467,38.483471652003914,0,50.57577721297767,3,1,1,,,
121958467,39.13025268817205,0,51.42579027538065,0,1,2,,,
121958467,39.77703372434018,0,52.27580333778364,0,2,0,,,
130987506,40.42381476050831,0,53.12581640018662,0,1,0,,,
130987506,41.07059579667644,2,53.975829462589616,0,0,1,,,
140948179,41.71737683284458,0,54.825842524992595,1,1,1,,,
140948179,42.364157869012715,0,55.67585558739559,1,1,2,,,
140948179,43.01093890518084,0,56.52586864979857,3,4,1,,,
140948179,43.65771994134897,1,57.37588171220156,0,1,0,,,
140948179,44.30450097751711,0,58.22589477460454,0,4,1,,,
140948179,44.951282013685244,0,59.075907837007534,1,2,0,,,
142110553,45.59806304985338,0,59.925920899410514,1,3,0,,,
142110553,46.24484408602151,0,60.77593396181351,0,1,0,,,
142110553,46.89162512218964,1,61.62594702421649,2,2,0,,,
142110553,47.53840615835777,0,62.475960086619466,0,3,1,,,
142110553,48.18518719452591,1,63.32597314902246,1,4,0,,,
156624318,48.831968230694045,1,64.17598621142545,2,2,1,,,
156624318,49.478749266862174,0,65.02599927382843,0,0,0,,,
157824802,50.1255303030303,0,65.87601233623141,2,1,0,,,
157824802,50.77231133919844,1,66.7260253986344,1,4,0,,,
157824802,51.419092375366574,0,67.5760384610374,0,0,0,,,
157824802,52.06587341153471,0,68.42605152344038,0,2,1,,,
157824802,52.71265444770284,0,69.27606458584336,1,0,2,,,
157824802,53.35943548387097,1,70.12607764824634,1,2,1,,,
190270266,54.006216520039104,1,70.97609071064933,0,0,1,,,
190270266,54.65299755620724,2,71.82610377305232,0,0,1,,,
190270266,55.29977859237537,0,72.6761168354553,1,1,1,,,
190270266,55.946559628543504,0,73.52612989785828,2,0,0,,,
190270266,56.59334066471163,1,74.37614296026128,1,0,2,,,
190270266,57.24012170087977,0,75.22615602266427,1,2,2,,,
3491367,57.886902737047905,1,76.07616908506725,1,4,1,,,
3491367,58.53368377321603,0,76.92618214747023,0,0,1,,,
3491367,59.18046480938417,0,77.77619520987322,0,0,1,,,
29778478,59.8272458455523,1,78.62620827227622,0,0,0,,,
30538234,60.474026881720434,0,79.4762213346792,1,4,2,,,
30538234,61.12080791788857,0,80.32623439708217,1,1,0,,,
33617497,61.7675889540567,0,81.17624745948517,0,2,0,,,
33617497,62.414369990224834,0,82.02626052188815,1,2,2,,,
67136815,63.06115102639296,1,82.87627358429114,2,0,1,,,
67136815,63.7079320625611,1,83.72628664669412,0,1,1,,,
67136815,64.35471309872923,0,84.5762997090971,0,0,2,,,
67136815,65.00149413489737,2,85.4263127715001,0,1,3,,,
70499657,65.64827517106549,0,86.27632583390309,1,0,0,,,
70499657,66.29505620723363,0,87.12633889630607,1,0,0,,,
75809884,66.94183724340176,2,87.97635195870905,1,2,1,,,
75809884,67.5886182795699,2,88.82636502111204,1,2,1,,,
78966735,68.23539931573802,0,89.67637808351503,0,0,2,,,
78966735,68.88218035190616,1,90.52639114591801,0,0,0,,,
82054486,69.5289613880743,0,91.37640420832099,3,2,0,,,
82054486,70.17574242424243,0,92.22641727072399,1,1,1,,,
82054486,70.82252346041057,2,93.07643033312698,0,0,1,,,
