event no, total energy (keV), E frequency, momentum component (keV), x frequency, y frequency, z frequency, particles per run, runs per simulation, restricted momentum direction
18083,0.3233905180840665,172,0.5120804721142069,1640,1640,248,1,200000000,0.5
18083,0.9701715542521995,185,1.5362414163426208,1614,1664,255,,,
18083,1.6169525904203326,248,2.5604023605710347,1598,1612,285,,,
18083,2.2637336265884653,177,3.5845633047994485,1571,1617,243,,,
95158,2.9105146627565985,196,4.608724249027862,1640,1647,264,,,
95158,3.5572956989247313,156,5.632885193256277,1615,1556,274,,,
95158,4.2040767350928645,211,6.65704613748469,1558,1564,230,,,
96004,4.850857771260998,203,7.681207081713104,1487,1464,261,,,
125622,5.49763880742913,185,8.705368025941517,1459,1464,269,,,
125622,6.144419843597264,179,9.72952897016993,1423,1440,252,,,
125622,6.791200879765396,187,10.753689914398347,1433,1390,232,,,
127500,7.437981915933529,217,11.77785085862676,1342,1418,245,,,
127500,8.084762952101663,189,12.802011802855173,1298,1289,285,,,
127500,8.731543988269795,201,13.826172747083586,1360,1346,225,,,
127500,9.378325024437927,170,14.850333691312002,1176,1223,295,,,
127706,10.025106060606062,174,15.874494635540415,1177,1143,247,,,
221767,10.671887096774194,177,16.89865557976883,1056,1008,265,,,
221767,11.318668132942328,203,17.92281652399724,972,965,244,,,
221767,11.96544916911046,187,18.946977468225654,820,754,270,,,
260497,12.612230205278593,178,19.97113841245407,664,654,228,,,
260497,13.259011241446727,173,20.995299356682484,626,595,263,,,
260497,13.905792277614859,190,22.0194603009109,654,601,231,,,
260497,14.552573313782993,153,23.043621245139313,647,597,265,,,
260497,15.199354349951125,176,24.067782189367726,604,557,266,,,
340895,15.846135386119258,166,25.09194313359614,545,575,248,,,
340895,16.492916422287394,164,26.116104077824552,548,548,249,,,
340895,17.139697458455522,164,27.140265022052965,599,524,265,,,
340895,17.78647849462366,183,28.16442596628138,556,523,247,,,
343400,18.433259530791787,179,29.188586910509795,515,503,268,,,
343400,19.080040566959923,188,30.21274785473821,522,495,257,,,
343400,19.72682160312806,151,31.236908798966624,504,485,243,,,
